"id","homeID","awayID","season","status","roundID","game_week","revised_game_week","homeGoalCount","awayGoalCount","totalGoalCount","team_a_corners","team_b_corners","totalCornerCount","team_a_offsides","team_b_offsides","team_a_yellow_cards","team_b_yellow_cards","team_a_red_cards","team_b_red_cards","team_a_shotsOnTarget","team_b_shotsOnTarget","team_a_shotsOffTarget","team_b_shotsOffTarget","team_a_shots","team_b_shots","team_a_fouls","team_b_fouls","team_a_possession","team_b_possession","refereeID","coach_a_ID","coach_b_ID","stadium_name","stadium_location","team_a_cards_num","team_b_cards_num","odds_ft_1","odds_ft_x","odds_ft_2","odds_ft_over05","odds_ft_over15","odds_ft_over25","odds_ft_over35","odds_ft_over45","odds_ft_under05","odds_ft_under15","odds_ft_under25","odds_ft_under35","odds_ft_under45","odds_btts_yes","odds_btts_no","odds_team_a_cs_yes","odds_team_a_cs_no","odds_team_b_cs_yes","odds_team_b_cs_no","odds_doublechance_1x","odds_doublechance_12","odds_doublechance_x2","odds_1st_half_result_1","odds_1st_half_result_x","odds_1st_half_result_2","odds_2nd_half_result_1","odds_2nd_half_result_x","odds_2nd_half_result_2","odds_dnb_1","odds_dnb_2","odds_corners_over_75","odds_corners_over_85","odds_corners_over_95","odds_corners_over_105","odds_corners_over_115","odds_corners_under_75","odds_corners_under_85","odds_corners_under_95","odds_corners_under_105","odds_corners_under_115","odds_corners_1","odds_corners_x","odds_corners_2","odds_team_to_score_first_1","odds_team_to_score_first_x","odds_team_to_score_first_2","odds_win_to_nil_1","odds_win_to_nil_2","odds_1st_half_over05","odds_1st_half_over15","odds_1st_half_over25","odds_1st_half_over35","odds_1st_half_under05","odds_1st_half_under15","odds_1st_half_under25","odds_1st_half_under35","odds_2nd_half_over05","odds_2nd_half_over15","odds_2nd_half_over25","odds_2nd_half_over35","odds_2nd_half_under05","odds_2nd_half_under15","odds_2nd_half_under25","odds_2nd_half_under35","odds_btts_1st_half_yes","odds_btts_1st_half_no","odds_btts_2nd_half_yes","odds_btts_2nd_half_no","id_ft_1","id_ft_x","id_ft_2","id_ft_over05","id_ft_over15","id_ft_over25","id_ft_over35","id_ft_over45","id_btts_yes","id_btts_no","id_team_a_cs_yes","id_team_b_cs_yes","id_team_a_cs_no","id_team_b_cs_no","overallGoalCount","ht_goals_team_a","ht_goals_team_b","goals_2hg_team_a","goals_2hg_team_b","GoalCount_2hg","HTGoalCount","date_unix","winningTeam","no_home_away","btts_potential","btts_fhg_potential","btts_2hg_potential","goalTimingDisabled","attendance","o45_potential","o35_potential","o25_potential","o15_potential","o05_potential","o15HT_potential","o05HT_potential","corners_potential","offsides_potential","cards_potential","avg_potential","home_url","home_image","home_name","away_url","away_image","away_name","home_ppg","away_ppg","pre_match_home_ppg","pre_match_away_ppg","u45_potential","u35_potential","u25_potential","u15_potential","u05_potential","corners_o85_potential","corners_o95_potential","corners_o105_potential","match_url","competition_id","matches_completed_minimum","over05","over15","over25","over35","over45","over55","btts"
2155,150,108,"2016/2017","complete",19,1,-1,2,1,3,5,3,8,1,0,2,2,0,0,4,6,7,9,11,15,7,17,52,48,-1,196,160,"KCOM Stadium","Walton Street / Anlaby Road, Hull",2,2,3.41,3.19,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",3,1,0,1,1,2,1,1471087800,150,0,0,0,0,0,"21037",0,0,0,0,0,0,0,0,0,0,0,"/clubs/england/hull-city-afc","teams/england-hull-city-afc.png","Hull City","/clubs/england/leicester-city-fc","teams/england-leicester-city-fc.png","Leicester City",1.47,0.53,0,0,0,0,0,0,0,0,0,0,"/england/hull-city-afc-vs-leicester-city-fc-h2h-stats#2155",9,38,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
2156,145,154,"2016/2017","complete",19,1,-1,0,1,1,7,4,11,2,2,3,2,0,0,6,8,6,7,12,15,10,14,56,44,-1,197,198,"Turf Moor","Harry Potts Way, Burnley",3,2,2.45,3.22,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",1,0,0,0,1,1,0,1471096800,154,0,0,0,0,0,"19126",0,0,0,0,0,0,0,0,0,0,0,"/clubs/england/burnley-fc","teams/england-burnley-fc.png","Burnley","/clubs/wales/swansea-city-afc","teams/wales-swansea-city-afc.png","Swansea City",1.74,0.74,0,0,0,0,0,0,0,0,0,0,"/england/burnley-fc-vs-swansea-city-afc-h2h-stats#2156",9,38,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2157,143,142,"2016/2017","complete",19,1,-1,0,1,1,3,6,9,0,2,2,2,0,0,7,6,5,6,12,12,12,14,52,48,-1,199,200,"Selhurst Park","Holmesdale Road, London",2,2,2.2,3.25,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",1,0,0,0,1,1,0,1471096800,142,0,0,0,0,0,"24490",0,0,0,0,0,0,0,0,0,0,0,"/clubs/england/crystal-palace-fc","teams/england-crystal-palace-fc.png","Crystal Palace","/clubs/england/west-bromwich-albion-fc","teams/england-west-bromwich-albion-fc.png","West Bromwich Albion",1.05,0.84,0,0,0,0,0,0,0,0,0,0,"/england/crystal-palace-fc-vs-west-bromwich-albion-fc-h2h-stats#2157",9,38,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2158,144,92,"2016/2017","complete",19,1,-1,1,1,2,5,6,11,4,0,0,0,0,0,7,4,3,2,10,6,10,14,40,60,-1,201,156,"Goodison Park","Goodison Road, Liverpool",0,0,3.13,3.36,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",2,1,0,0,1,1,1,1471096800,-1,0,0,0,0,0,"39494",0,0,0,0,0,0,0,0,0,0,0,"/clubs/england/everton-fc","teams/england-everton-fc.png","Everton","/clubs/england/tottenham-hotspur-fc","teams/england-tottenham-hotspur-fc.png","Tottenham Hotspur",2.26,1.74,0,0,0,0,0,0,0,0,0,0,"/england/everton-fc-vs-tottenham-hotspur-fc-h2h-stats#2158",9,38,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2159,147,141,"2016/2017","complete",19,1,-1,1,1,2,9,6,15,1,3,3,5,0,0,3,2,5,8,8,10,18,13,49,51,-1,202,203,"Riverside Stadium","Dockside Road, Middlesbrough",3,5,2.49,3.2,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",2,1,0,0,1,1,1,1471096800,-1,0,0,0,0,0,"32110",0,0,0,0,0,0,0,0,0,0,0,"/clubs/england/middlesbrough-fc","teams/england-middlesbrough-fc.png","Middlesbrough","/clubs/england/stoke-city-fc","teams/england-stoke-city-fc.png","Stoke City",0.95,0.89,0,0,0,0,0,0,0,0,0,0,"/england/middlesbrough-fc-vs-stoke-city-fc-h2h-stats#2159",9,38,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2160,146,155,"2016/2017","complete",19,1,-1,1,1,2,6,2,8,1,0,1,3,0,0,10,0,8,6,18,6,8,12,65,35,-1,204,205,"St. Mary's Stadium","Entebbe Road, Kitende",1,3,1.8,3.64,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",2,0,1,1,0,1,1,1471096800,-1,0,0,0,0,0,"31488",0,0,0,0,0,0,0,0,0,0,0,"/clubs/england/southampton-fc","teams/england-southampton-fc.png","Southampton","/clubs/england/watford-fc","teams/england-watford-fc.png","Watford",1.26,0.63,0,0,0,0,0,0,0,0,0,0,"/england/southampton-fc-vs-watford-fc-h2h-stats#2160",9,38,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2161,93,156,"2016/2017","complete",19,1,-1,2,1,3,10,5,15,1,2,1,2,0,0,5,3,8,2,13,5,11,11,70,30,-1,72,206,"Etihad Stadium","Rowsley Street, Manchester",1,2,1.21,7,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",3,1,0,1,1,2,1,1471105800,93,0,0,0,0,0,"54362",0,0,0,0,0,0,0,0,0,0,0,"/clubs/england/manchester-city-fc","teams/england-manchester-city-fc.png","Manchester City","/clubs/england/sunderland-afc","teams/england-sunderland-afc.png","Sunderland",2.11,0.53,0,0,0,0,0,0,0,0,0,0,"/england/manchester-city-fc-vs-sunderland-afc-h2h-stats#2161",9,38,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
2162,148,149,"2016/2017","complete",19,1,-1,1,3,4,4,2,6,3,4,0,1,0,0,3,5,2,1,5,6,6,10,51,49,-1,207,208,"Vitality Stadium","Dean Court, Kings Park, Bournemouth, Dorset",0,1,5.21,3.68,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",4,0,1,1,2,3,1,1471177800,149,0,0,0,0,0,"11355",0,0,0,0,0,0,0,0,0,0,0,"/clubs/england/afc-bournemouth","teams/england-afc-bournemouth.png","AFC Bournemouth","/clubs/england/manchester-united-fc","teams/england-manchester-united-fc.png","Manchester United",1.63,1.84,0,0,0,0,0,0,0,0,0,0,"/england/afc-bournemouth-vs-manchester-united-fc-h2h-stats#2162",9,38,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2163,59,151,"2016/2017","complete",19,1,-1,3,4,7,5,4,9,4,3,3,3,0,0,2,5,4,5,6,10,13,15,52,48,-1,145,85,"Emirates Stadium","Queensland Road, London",3,3,2.14,3.44,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",7,1,1,2,3,5,2,1471186800,151,0,0,0,0,0,"60033",0,0,0,0,0,0,0,0,0,0,0,"/clubs/england/arsenal-fc","teams/england-arsenal-fc.png","Arsenal","/clubs/england/liverpool-fc","teams/england-liverpool-fc.png","Liverpool",2.37,1.84,0,0,0,0,0,0,0,0,0,0,"/england/arsenal-fc-vs-liverpool-fc-h2h-stats#2163",9,38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2164,152,153,"2016/2017","complete",19,1,-1,2,1,3,7,1,8,1,1,5,2,0,0,5,2,7,2,12,4,15,13,60,40,-1,209,210,"Stamford Bridge","Fulham Road, London",5,2,1.62,4.01,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","","","",3,0,0,2,1,3,0,1471287600,152,0,0,0,0,0,"41521",0,0,0,0,0,0,0,0,0,0,0,"/clubs/england/chelsea-fc","teams/england-chelsea-fc.png","Chelsea","/clubs/england/west-ham-united-fc","teams/england-west-ham-united-fc.png","West Ham United",2.68,1.05,0,0,0,0,0,0,0,0,0,0,"/england/chelsea-fc-vs-west-ham-united-fc-h2h-stats#2164",9,38,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
